Id,Price,Age_08_04,KM,HP,cc,Doors,Gears,Quarterly_Tax,Weight
1,13500,23,46986,90,2000,3,5,210,1165
2,13750,23,72937,90,2000,3,5,210,1165
3,13950,24,41711,90,2000,3,5,210,1165
4,14950,26,48000,90,2000,3,5,210,1165
5,13750,30,38500,90,2000,3,5,210,1170
6,12950,32,61000,90,2000,3,5,210,1170
7,16900,27,94612,90,2000,3,5,210,1245
8,18600,30,75889,90,2000,3,5,210,1245
9,21500,27,19700,192,1800,3,5,100,1185
10,12950,23,71138,69,1900,3,5,185,1105
11,20950,25,31461,192,1800,3,6,100,1185
12,19950,22,43610,192,1800,3,6,100,1185
13,19600,25,32189,192,1800,3,6,100,1185
14,21500,31,23000,192,1800,3,6,100,1185
15,22500,32,34131,192,1800,3,6,100,1185
16,22000,28,18739,192,1800,3,6,100,1185
17,22750,30,34000,192,1800,3,5,100,1185
18,17950,24,21716,110,1600,3,5,85,1105
19,16750,24,25563,110,1600,3,5,19,1065
20,16950,30,64359,110,1600,3,5,85,1105
21,15950,30,67660,110,1600,3,5,85,1105
22,16950,29,43905,110,1600,3,5,100,1170
23,15950,28,56349,110,1600,3,5,85,1120
24,16950,28,32220,110,1600,3,5,85,1120
25,16250,29,25813,110,1600,3,5,85,1120
26,15950,25,28450,110,1600,3,5,85,1120
27,17495,27,34545,110,1600,3,5,85,1120
28,15750,29,41415,110,1600,3,5,85,1120
29,16950,28,44142,110,1600,3,5,85,1120
30,17950,30,11090,110,1600,3,5,85,1120
31,12950,29,9750,97,1400,3,5,19,1100
32,15750,22,35199,97,1400,3,5,85,1100
33,15950,27,29510,97,1400,3,5,85,1100
34,14950,26,32692,97,1400,3,5,85,1100
35,15500,22,41000,97,1400,3,5,85,1100
36,15750,26,43000,97,1400,3,5,85,1100
37,15950,25,25000,97,1400,3,5,85,1100
38,14950,23,10000,97,1400,3,5,85,1100
39,15750,32,25329,97,1400,3,5,85,1100
40,14750,27,27500,97,1400,3,5,85,1100
41,13950,22,49059,97,1400,3,5,85,1100
42,16750,27,44068,97,1400,3,5,85,1100
43,13950,22,46961,97,1400,3,5,85,1100
44,16950,27,110404,90,2000,5,5,234,1255
45,16950,22,100250,90,2000,5,5,234,1255
46,19000,23,84000,90,2000,5,5,234,1270
47,17950,27,79375,90,2000,5,5,234,1255
48,15800,22,75048,97,1400,5,5,85,1110
49,17950,22,72215,90,2000,5,5,234,1255
50,21950,31,64982,192,1800,5,6,100,1195
51,17950,22,62636,90,2000,5,5,234,1255
52,15750,30,57086,97,1400,5,5,85,1110
53,20500,26,56000,110,1600,5,5,100,1180
54,21950,27,49866,192,1800,5,5,100,1195
55,15500,25,49163,110,1600,5,5,100,1165
56,13250,32,45725,110,1600,5,5,85,1075
57,15250,28,43210,97,1400,5,5,85,1110
58,15250,26,43000,97,1400,5,5,85,1110
59,18950,23,39704,110,1600,5,5,100,1180
60,15999,30,38950,110,1600,5,5,85,1130
61,14950,22,37400,97,1400,5,5,85,1110
62,16500,27,37177,110,1600,5,5,85,1130
63,18750,31,36544,110,1600,5,5,85,1130
64,17950,30,33511,110,1600,5,5,85,1130
65,17950,27,32809,97,1400,5,5,85,1110
66,16950,26,32181,110,1600,5,5,19,1075
67,18950,28,30993,110,1600,5,5,85,1130
68,14950,22,30400,97,1400,5,5,85,1110
69,22250,22,30000,110,2000,5,5,234,1275
70,15950,25,29719,97,1400,5,5,85,1110
71,15950,28,29206,97,1400,5,5,85,1110
72,12995,32,29198,97,1400,5,5,85,1060
73,18950,28,28817,110,1598,5,5,85,1130
74,15750,23,28227,97,1400,5,5,85,1110
75,19950,28,28000,110,1600,5,5,85,1130
76,16950,23,28000,110,1600,5,5,85,1115
77,18750,31,25266,110,1600,5,5,85,1130
78,18450,27,23489,110,1600,5,5,85,1115
79,16895,29,22575,110,1600,5,5,85,1115
80,14900,30,22000,97,1400,5,5,85,1110
81,18950,25,20019,110,16000,5,5,100,1180
82,17250,29,20000,110,1600,5,5,85,1115
83,15450,25,17003,97,1400,5,5,85,1110
84,17950,31,16238,110,1600,5,5,100,1180
85,16650,25,15414,97,1400,5,5,85,1110
86,17450,28,8537,110,1600,5,5,85,1130
87,14900,30,7000,97,1400,5,5,85,1100
88,17950,20,66966,90,2000,3,5,210,1245
89,15950,19,51884,97,1400,3,5,85,1100
90,21950,19,50005,110,2000,3,5,234,1265
91,16450,20,48110,97,1400,3,5,85,1100
92,22250,20,37500,90,2000,3,5,234,1260
93,19950,16,34472,90,1995,3,5,234,1260
94,15950,20,33329,97,1400,3,5,85,1100
95,18900,20,31850,110,1600,3,5,85,1120
96,19950,17,30351,90,1995,3,5,234,1260
97,15950,19,29435,97,1400,3,5,85,1100
98,15950,19,25948,97,1400,3,5,85,1100
99,18750,11,24500,110,1600,3,5,85,1120
100,17450,18,23902,97,1400,3,5,85,1100
